id,label,tweet
49,-1,b'Funeral procession of  slain Yawar Mushtaq Dar a militant at Thokerpora  village in south Kashmir Shopian district\xe2\x80\xa6 https://t.co/JX0NB6UyI7'
50,1,"b'#Kashmir ki kahani.\nKamran, chit-chatting with security personnels in Srinagar.\xf0\x9f\x98\x8a For every depressing news alert, t\xe2\x80\xa6 https://t.co/qJbisZF6Yt'"
51,-1,b'Transferring Zakura land to security forces will squeeze civic activities: Political parties #Kashmir #KnsKashmir https://t.co/OwJPXf7Dws'
52,-1,"b'Security forces lay siege to Kulgam village in south Kashmir, begin searches https://t.co/5eEVWxdTpW'"
53,-1,"b'Security forces lay siege to #Kulgam village in south Kashmir, begin searches  https://t.co/p8WzIrt7NA'"
54,-1,b'There are Intelligence inputs that Jaish militant outfit may carry a big attack on @airforce stations located in\xe2\x80\xa6 https://t.co/8ml5i9Eh5R'
55,-1,b'security of kashmir\nRapist gets security\nProtestor gets pellet and bullet#shame on j&amp;k police#shaheed arshid'
56,-1,b'Government Sources: Intelligence input warns against terrorists\xe2\x80\x99 plans to carry out an attack on Srinagar and Awant\xe2\x80\xa6 https://t.co/DbCwZWLyV2'
57,-1,"b'DGP visits Gurez, reviews security scenario\n\n#Rknews https://t.co/StLhraMrr4'"
58,-1,"b'Advisors Kumar, #Sharma inspect Mughal road\n\nReview security scenario, facilities for commuters\n\n#Rknews\n https://t.co/AwAhllThMU'"
59,1,b'@_AzharQadri You mean you want HM to be aggressive and attack our security forces?  This is sheer incitement to vio\xe2\x80\xa6 https://t.co/iR0DhiKgRP'
60,1,b'#LiveVisuals from ground zeriy\nThree Militants were killed and an army personnel injured during a brief exchange of\xe2\x80\xa6 https://t.co/cXOiqDyNWQ'
61,-1,b'#BreakingNews\n Another encounter third of the day started Between militants And joint team of security forces in Ha\xe2\x80\xa6 https://t.co/sm6VYTQtW2'
62,1,"b'Part 2\n\nFive people including three militants, an Army man and a civilian were killed during a gunfight between mil\xe2\x80\xa6 https://t.co/JGItDVgNcS'"
63,1,"b'Five people including three militants, an Army man and a civilian were killed during a gunfight between militants a\xe2\x80\xa6 https://t.co/BtyvVmMw7h'"
64,-1,b'Curfew imposed in Pulwama town after youth clash with security forces https://t.co/VHy9BTqIac via @YouTube'
65,1,b'Arshad Hussain Dar was not protesting against security forces neither was seeking Azaadi. He was killed by the forc\xe2\x80\xa6 https://t.co/nq3SoQqDEX'
66,0,b'In Pics\n2 Local Militants from #JaishMohmmad including top commander who was mastermind of #Lethpora attack and a p\xe2\x80\xa6 https://t.co/GfjEZoWeem'
67,1,"b'Three militants, a soldier and a civilian  killed in a pre-dawn encounter between security forces and Ultras in Sou\xe2\x80\xa6 https://t.co/4nou0yP2DA'"
68,1,b'#Update\n\nThree militants have been killed and their bodies have been retrieved in an Encounter that started Between\xe2\x80\xa6 https://t.co/mGmHh4Vnyc'
69,-1,b'How can national security not be an issue: asks Modi\n\n#Rknews https://t.co/eGylzxNJ44'
70,-1,"b'Advisors Kumar, #Sharma inspect Mughal road\n\nReview security scenario, facilities for #commuters\n\n#Rknews\n https://t.co/AwAhllThMU'"
71,-1,b'#update\n#Pulwama \nAs per government officials in order to maintain law and order curfew has been imposed in\xe2\x80\xa6 https://t.co/xDzS4kwBnD'
72,1,"b""#BigBreaking\n \nReportedly #JunaidSehrai son of Hurriyat conference chairman Mohd Ashraf Sehrai's killed in\xe2\x80\xa6 https://t.co/yiT87anAGb"""
73,-1,"b'Focus on amnesty from prosecution, security, livelihood\nhttps://t.co/xRNDnzYthR'"
74,-1,"b'Encounter started Between militants &amp; security forces including 55RR of @adgpi, SOG of @JmuKmrPolice in #Dalipora a\xe2\x80\xa6 https://t.co/aEaSuq4bre'"
75,-1,"b'Advisors Kumar, Sharma inspect Mughal road review security, facilities for commuters\xc2\xa0 https://t.co/kylXJkKq1j https://t.co/iou4rZUOuU'"
76,-1,"b'Advs Kumar, Sharma inspect Mughal road;review security scenario, facilities for\xc2\xa0commuters https://t.co/T79UOfw0en https://t.co/rkRsFWYyvL'"
77,-1,b'Security experts suggest changes in surrender policy for local militants https://t.co/TW7wa7yKwi'
78,-1,"b'India, Pak joining SCO enhanced organisation\xe2\x80\x99s potential: Russian Security\xc2\xa0Council https://t.co/e2lyKemHBF https://t.co/Y6yqszg6zT'"
79,-1,"b'How can national security not be an issue, asks PM\xc2\xa0Modi https://t.co/kqXatQAe0W https://t.co/TKSVVKd6dH'"
80,-1,"b'India, Pakistan joining SCO enhanced organisation\xe2\x80\x99s potential: Russian Security\xc2\xa0Council https://t.co/LcbfCARTYp https://t.co/JrZrx33iN2'"
81,-1,"b""India, Pak joining SCO enhanced organisation's potential: Russian Security Council. https://t.co/Iz4aPjvthj"""
82,-1,"b'Students clashed with the security forces in #Srinagar city on Tuesday, May14,2019 following a protest against the\xe2\x80\xa6 https://t.co/ADgCfeN0eZ'"
83,-1,b'Northern #ArmyCommander reviews security situation in Valley\n\n#Rknews\n\n https://t.co/LNG0UWBlx3'
84,-1,b'Northern Army Commander reviews #Kashmir security \n https://t.co/XyPIv4LBVw'
85,-1,b'#Students  clashed with security forces at Amar Singh college and students from  various colleges protests against\xe2\x80\xa6 https://t.co/xVLjTlxXlm'
86,-1,b'Northern Army Commander reviews security situation in Kashmir\xc2\xa0Valley https://t.co/3sN3jOAHJt https://t.co/J8SC3L5c1f'
87,-1,b'@AltafQadriAP @free_thinker They (ANI) only follow Modi.'
88,0,b'@narendramodi I want someone to love me like Modi Ji loves camera.'
89,0,b'@bainjal I want someone to love me like Modi Ji loves camera.'
90,-1,"b'During five years of Modi Government , the ghosts of Ayodhya returned as hatred and violence against minorities wer\xe2\x80\xa6 https://t.co/i3ciM4sURl'"
91,-1,b'@imrankehwah @sajadlone Why u forgot to mention he is brother of MODI .... A person who betrayed his fathers mission !!!'
92,-1,"b'Final phase of #LSpolls today\n\nVoters to seal fate of #Modi, #SunnyDeol, #Shatrughan\n\n#Rknews\n https://t.co/xS8X1ddrEb'"
93,0,b'Pragya Thakur shows #Modi in his true colour: Soz\n\n#Rknews https://t.co/N092z3N8PD'
94,-1,b'World-renowned Actor Narendra Modi attends Cannes Film Festival in Kedarnath Temple\xf0\x9f\x98\x9d https://t.co/vb98ZyebIs'
95,-1,"b'Akhilesh tears into PM Modi\xe2\x80\x99s press conference, calls it last episode of \xe2\x80\x98Mann ki Baat\xe2\x80\x99 on\xc2\xa0TV\xe2\x80\xa6 https://t.co/1rnrDZTXjn'"
96,-1,b'@BJP4India @narendramodi whatever people say.. even sometime I criticize him..\nbut Hatsoff to Modi ji and his spirit...'
97,-1,b'@ManishTewari This all gutter is attributed to Modi/Shah goons. They have made kachra literally of everything'
98,-1,b'@shekharkapur Yes and PM should have press conference like modi where he passes every question to his broker like A\xe2\x80\xa6 https://t.co/vR0CQ1q6y6'
99,0,"b'#Modi in his first presser diverts questions to #Shah, says BJP will be back in power\n\n#Rknews https://t.co/kxV8IMF6MQ'"
100,-1,"b'Modi asserts BJP will be back in power, diverted questions to Amit Shah https://t.co/TvtBx5dmMW'"
101,-1,"b""@asadowaisi attacks Modi over #PragyaSinghThakur's comments\n\n#Rknews\n\n https://t.co/yxv3b2Anc2"""
102,1,"b'Jaitley, #Sitharaman aim to be on right side of Modi\xe2\x80\x99s game: Soz\n\n#Rknews https://t.co/1XNM7Q4Avn'"
103,-1,b'PM Modi makes \xe2\x80\x98guest appearance\xe2\x80\x99 at BJP presser  https://t.co/RdHO3WJOGW'
104,-1,"b'At maiden press briefing, PM Modi says \xe2\x80\x98BJP will return to power\xe2\x80\x99, but takes no\xc2\xa0questions https://t.co/s6IN1fSkyB https://t.co/afWBjhvXfG'"
105,0,"b'BJP will return to power with absolute majority, says PM\xc2\xa0Modi https://t.co/SfkOQfQyR6 https://t.co/LkWGrCOVg2'"
106,-1,"b'If Indira can be given credit for 1971 war, why not Modi for Balakot: Dr\xc2\xa0Jitendra https://t.co/WjMQK0MAmk https://t.co/bQlFfDrVdC'"
107,-1,b'\xe2\x80\x98Mahatma\xe2\x80\x99s legacy sacred to us\xe2\x80\x99: BJP\xe2\x80\x99s Pragya Thakur faces flak for calling Godse a \xe2\x80\x98patriot\xe2\x80\x99 https://t.co/7ViYmRhnXx'
108,1,b'Will never forgive Pragya for insulting Mahatma Gandhi: Modi https://t.co/eerWrrfm1Q'
109,1,b'What Do These Godse Fans Have in Common? They Are All Followed by Modi on Twitter https://t.co/NXjlpGcnfa'
110,1,b'Will never forgive Pragya for insulting #MahatmaGandhi: Modi https://t.co/UINUcS0wS1'
111,1,"b'Modi is intolerant, abusive and a cowardly PM. He hides behind fake Nationalism.'"
112,0,b'This bihari just outsmart modi in a very unique way.\nhttps://t.co/LtcX5g9n1N'
113,-1,"b'No way PM Modi could\xe2\x80\x99ve used email in 1988, says man who brought internet to India https://t.co/qReISLt84V'"
114,-1,b'#Geelani lashes out at PM Modi over his WB remarks\n\n#Rknews https://t.co/gGePzTJ5So'
115,-1,b'Why West Bengal is not declared a disturbed territory: Geelani to PM\xc2\xa0Modi https://t.co/YLxpY1aVL4 https://t.co/bz0KCl0nYh'
116,1,"b'Sensing Modi debacle on 23rd May, a small time colored anchor called Arnaub Goswami has started to stammer. Will be\xe2\x80\xa6 https://t.co/nDg8YGMnf2'"
117,-1,"b'\xe2\x80\x98Modilie\xe2\x80\x99: No such word exists, Oxford Dictionary tells Rahul Gandhi https://t.co/OavNSN9wmZ'"
118,-1,b'How can national security not be an issue: asks Modi\n\n#Rknews https://t.co/eGylzxNJ44'
119,0,b'Elections in J&amp;K more peaceful than Bengal: PM #Modi\n\nhttps://t.co/zkGzc3FPEm'
120,0,"b'No riots in UP in my tenure, Modi\xe2\x80\x99s term full of violence:\xc2\xa0Mayawati https://t.co/1dh0T0IedL'"
121,0,b'So much hype! https://t.co/7WPZmQY0sn'
122,-1,"b'\xe2\x80\x98Don\xe2\x80\x99t want war, but would defend ourselves\xe2\x80\x99, Says Saudi\xc2\xa0Arabia https://t.co/xpsJNjkeP7'"
123,-1,"b""Saudis say they don't want war, but will defend themselves https://t.co/V3BDu6Rwfj"""
124,-1,b'Trump tells Pentagon chief he doesn\xe2\x80\x99t want war with\xc2\xa0Iran https://t.co/56k8KIbsYz https://t.co/G0zDwE9rBK'
125,1,b'Trade war unlikely to aid Indian\xc2\xa0exports https://t.co/75XRXnKzKn https://t.co/S2aV91YpGQ'
126,-1,"b'Once again #shoutout in #Palwama and #Shopian, terrorist indian army involves in war crime. #RamadanMubarak\xe2\x80\xa6 https://t.co/MAkqt4QJV0'"
127,-1,b'@rifatabdullahh This year only I went to Medina and Mecca. The Pakistani people residing there can only do such sha\xe2\x80\xa6 https://t.co/mSge05Bch4'
128,-1,"b'If Indira can be given credit for 1971 war, why not Modi for Balakot: Dr\xc2\xa0Jitendra https://t.co/WjMQK0MAmk https://t.co/bQlFfDrVdC'"
129,-1,"b'Once again #shoutout in #Palwama and #Shopian, terrorist indian army involves in war crime. #RamadanMubarak\xe2\x80\xa6 https://t.co/1uPdCE5n6R'"
130,0,b'Iran vows to defeat US economic war https://t.co/5flstklPVH'
131,0,b'Iran vows to defeat US economic war\n\nhttps://t.co/bymc0Pd0NH'
132,-1,b'GSP countries to benefit from trade war with China:\xc2\xa0Report https://t.co/Q0qxN6Biyz https://t.co/gDlYaYH3FW'
133,-1,b'The implications of a Trump war on political\xc2\xa0Islam https://t.co/QLoULdYila https://t.co/ONN3Cf9tqg'
134,-1,b'War clouds gather in Persian\xc2\xa0Gulf https://t.co/LxENFJcax2'
135,-1,"b""Iran's Supreme Leader Ali Khamenei has ruled out the possibility of war with the US and added that there would be n\xe2\x80\xa6 https://t.co/d0R5kmnLrq"""
136,1,"b""When you've no achievements, no ambitions, proved yourself to be completely useless in 2 of the biggest wars in the\xe2\x80\xa6 https://t.co/MSBMje0KST"""
137,0,"b'Bandipora rape case: Be calm, justice will be delivered on war footing basis: Govt to people #Kashmir #KnsKashmir https://t.co/YF0AzTG85k'"
138,-1,b'Bandipora rape incident being probed on war footing basis: Div\xc2\xa0Com https://t.co/yFMnfUV0SC https://t.co/IKBtypNc9c'
139,0,b'After 4 years #war on #yemen\n#SaudiArabia is real #terrorist https://t.co/G40tByIdXX'
140,1,"b""Evolution of War Strategies: We had heard of 'cold war', but thn it is 21st 100ry and the premier switches over to\xe2\x80\xa6 https://t.co/Rwsc5tVKO1"""
141,0,b'Rip.#Shame for islamic educational trust j&amp;k...#There should b banned these  types trusts in j&amp;k...\n\nRapest must  b\xe2\x80\xa6 https://t.co/iGUWxbhUXE'
142,0,"b'We are at a point in the great human experiment at which we have to move, with all our science and technology, beyo\xe2\x80\xa6 https://t.co/sM7ldYnviY'"
143,1,b'https://t.co/sqcjYv9t8V\nWhile there was hue and cry over #sumbal rape. The figures suggest something very gory .#kashmir'
144,1,b'The rape cases must be tried irrespective of age of the #victim or accuser and in all circumstances #accused must b\xe2\x80\xa6 https://t.co/Ciyuz34MIh'
145,-1,"b'In JK, 1046 rape cases involving 822 minors under trial since\xc2\xa02014 https://t.co/cWO3zAsPHZ'"
146,-1,b'Soldier accused of rape attempt in\xc2\xa0Samba https://t.co/LH3bY15YUX https://t.co/UcaUlUwwEI'
147,-1,b'Rape a horrendous immoral\xc2\xa0act https://t.co/jnAZGhIPhk https://t.co/IBpVxiQ3lY'
148,1,"b""JKPM Poonch marches against Sumbal minor's rape  https://t.co/YYZvZUTYTc"""
149,1,b'Minor \xe2\x80\x98rape\xe2\x80\x99 victim\xe2\x80\x99s interview: JJB asks police to probe https://t.co/zCVB87FctP'
150,-1,"b'Sumbal \xe2\x80\x98Rape\xe2\x80\x99 case:Police, Health Dept, amicus curiae file reports to\xc2\xa0HC https://t.co/yxBW7FeMQd https://t.co/R6PhHO6461'"
151,-1,"b'Sumbal rape case: IGP, H&amp;ME file reports before\xc2\xa0court https://t.co/Glvr7SaCnb https://t.co/js6CDtcEeA'"
152,-1,b'Analyzing suitability/unsuitability of Islamic #ShariaLaw  to deal with rape crimes after its rising demands in\xe2\x80\xa6 https://t.co/XyXM2OTXf8'
153,0,b'#BANDIPORA RAPE INCIDENT |Resume normal life and wait for court verdict: Aga Syed to people https://t.co/sDJ0sksmVM'
154,1,b'#Naming rape victim brazen violation of law: JJB \n\nSHO directed to #investigate video clip\n\nReports\xe2\x80\xa6 https://t.co/sByZpbNfGk'
155,1,b'#Hurriyat (G) delegation visits Sumbal rape victim\xe2\x80\x99s residence\n\n#Rknews\n\n https://t.co/jyXqU9O02J'
156,-1,b'@madhukishwar This lady can even defend rape with arguments. Shameless creature.'
157,1,"b'Mehbooba terms Pattan youth\xe2\x80\x99s killing painful, asks admin to speed up probe in Sumbal minor rape\xc2\xa0case\xe2\x80\xa6 https://t.co/0xnP5sxixk'"
158,-1,"b'Srinagar: Youth, Injured During Protests Against Bandipora Rape, Dies https://t.co/MOZpdTgfGt'"
159,0,"b""Only rape victim's testimony not always reliable: Bombay High Court https://t.co/NCqTGclO8X"""
160,0,"b""Only rape victim's testimony not always reliable: Bombay High Court https://t.co/wUlVAFF9A2"""
161,0,"b""Only rape victim's testimony not always reliable: Bombay High Court | Greater Kashmir https://t.co/wUlVAFF9A2"""
162,1,"b'Mehbooba terms Pattan youth\xe2\x80\x99s killing Painful and traumatising, asks admin to speed up probe in Sumbal minor rape\xc2\xa0c\xe2\x80\xa6 https://t.co/lgdOfaocmI'"
163,-1,"b'Rahul Gandhi Meets Alwar Gang Rape Survivor, Assures Justice https://t.co/buSEF39x97'"
164,1,b'Rahul Gandhi meets Alwar gang-rape victim https://t.co/17zwwGHtuZ'
165,-1,"b'Killing of Anti Rape Protestor by Police is a 4th page corner news in todays @GreaterKashmir , says a lot about a p\xe2\x80\xa6 https://t.co/oQD4GezR5W'"
166,1,b'Rahul Gandhi meets Alwar gang-rape victim\n\nhttps://t.co/C1sIEba5LJ'
167,0,b'My heart goes out to the family of Arshad Dar of Pattan who died protesting the rape of a 3 year old girl. It sadde\xe2\x80\xa6 https://t.co/p6GvAYVMHn'
168,-1,b'Students of two Kangan schools on Wednesday protested against the two rape cases that took place in Bandipora &amp; Gan\xe2\x80\xa6 https://t.co/crnYdOY0k9'
169,-1,"b'Rape on Rise\n\n142 #rapes in #Kashmir last year, 300 in 2017\n\nReports @JunaidKathjoo https://t.co/64srUZ7TtX'"
170,1,b'#Hurriyat (G) delegation visits Sumbal rape victim\xe2\x80\x99s residence\n\n#Rknews https://t.co/jyXqU9O02J'
171,1,b'#Juvenile Board to initiate legal action against reporters over naming #Ganderbal rape victim \n\n#Rknews https://t.co/PA5ctD76Dd'
172,-1,b'Students in Kangan march to press for justice in recent rape cases\n\nhttps://t.co/xDQcYAMl1d'
173,0,b'Calls for action against persons who revealed identity of victim\nhttps://t.co/g9vhOzBJWp'
174,0,"b'J&amp;K High Court takes cognisance of Bandipora rape incident, directs IGP Kashmir to file status report on\xc2\xa0Friday\xe2\x80\xa6 https://t.co/rOCcwbLAAp'"
175,0,"b'Shutdown against Sumbal minor\xe2\x80\x99s rape hits normal life in Budgam and Magam, Internet services restored in Budgam\xc2\xa0dis\xe2\x80\xa6 https://t.co/WgqR5tRXy3'"
176,1,"b'Vandalism is no way helping little rape victim, Omar on\xc2\xa0students https://t.co/TLfJ3YRDio https://t.co/7YCHaFqtn3'"
177,1,b'Social media \xe2\x80\x98reporters\xe2\x80\x99 booked for revealing name of alleged Ganderbal rape\xc2\xa0victim https://t.co/Xes54byUpo https://t.co/CS5EvM1KSZ'
178,0,b'Bandipora minor\xe2\x80\x99s \xe2\x80\x98rape\xe2\x80\x99: High Court takes cognisance;asks police to file status report by\xc2\xa0Friday\xe2\x80\xa6 https://t.co/VlhxCEcZWc'
179,-1,b'@Ni_Shannttttttt @Md3lias @listenshahid I guess i dont need to remind you of the Delhi Rape Incident. Its an afterm\xe2\x80\xa6 https://t.co/lKD9u3Z6ie'
180,0,"b""High Court seeks reports on Bandipora girl's 'rape' https://t.co/3ePYt0kiVP"""
181,1,b'Sumbal minor\xe2\x80\x99s alleged\xc2\xa0rape https://t.co/AE631rMQy4 https://t.co/p2yPrZLfw4'
182,1,"b'Vandalism is no way helping little rape victim, Omar to\xc2\xa0students https://t.co/MHBQ77geN8 https://t.co/KgcRlxrSbs'"
183,0,b'our friend @deepduttajourno recites powerful poem on Minor rape victim from Bandipora...\nAb Toffee Dushman hogaye..\xe2\x80\xa6 https://t.co/H9wTfGTbmk'
184,1,"b'Vandalism is no way helping little rape victim, Omar on\xc2\xa0students https://t.co/sYm9BGaMuY https://t.co/jMDvevCiS2'"
185,1,"b'Sumbal minor\xe2\x80\x99s \xe2\x80\x98rape\xe2\x80\x99: Students on roads, demos continue \nBy Firdous Hassan \nSrinagar, May 14: Protests continued i\xe2\x80\xa6 https://t.co/QSuFSgmWs5'"
186,1,"b'Sumbal minor\xe2\x80\x99s rape: SIT submits status report to CJM\nCase diary to be filed by tomorrow, Court likely to issues fu\xe2\x80\xa6 https://t.co/EETNbRHNFO'"
187,-1,"b'Now teenage girl \xe2\x80\x98raped\xe2\x80\x99 in Ganderbal\nAccused arrested, SIT investigating\nBy Syed Nashir Ali Gillani \nSrinagar, May\xe2\x80\xa6 https://t.co/2qXpzaNMv8'"
188,-1,b'When Srinagar court sentenced a rapist-murderer to death\n\xe2\x80\x98Matching the collective conscience of society\xe2\x80\x99\xe2\x80\xa6 https://t.co/LczoKK7ZLQ'
189,0,"b'J&amp;K High Court takes cognisance of Bandipora rape incident, directs IGP Kashmir to file status report on\xc2\xa0Friday\xe2\x80\xa6 https://t.co/BCP50bwikr'"
190,0,"b'Shutdown against Sumbal minor\xe2\x80\x99s rape hits normal life in Budgam and Magam, Internet services restored in Budgam\xc2\xa0dis\xe2\x80\xa6 https://t.co/qhKEQb8mK7'"
191,1,"b'Vandalism is no way helping little rape victim, Omar to students. https://t.co/9IgOqbtIXG'"
192,-1,b'@Zingyzestblogs @ECISVEEP It is headed by Chowkidar Sunil Arora. Modiji should declare himself King of Akhand Bhara\xe2\x80\xa6 https://t.co/NgE504a98e'
193,-1,b'There was no pressure to do \xe2\x80\x98Bharat\xe2\x80\x99: Katrina\xc2\xa0Kaif https://t.co/zvFF9f8IVp https://t.co/9UOiMIK4Do'
194,0,"b'@SundarrajanG @deepsealioness North and south two ends of the thread, I am sure we are going to see some interestin\xe2\x80\xa6 https://t.co/M6Fouc9eGd'"
195,1,b'@rainamk1 @ashoswai Bhakt always tries to defend BJP no matter what !'
196,-1,b'Regional parties up for a challenge if BJP comes to power in centre: Bhat #Kashmir #KnsKashmir https://t.co/aSJv8JYtWR'
197,-1,"b""D' Gang in KAS 2016, Pakistan in ICC World Cup 2019, BJP in Lok Sabha election 2019, and PDP in In Kashmir will win\xe2\x80\xa6 https://t.co/nZfX5esmdO"""
